% of turnover,IC+ Cap,IC+,0,£1,£50001,£100001,£200001,£300001,£400001,£500001,£750001,£1000001
,,NTC,£50000,£100000,£200000,£300000,£400000,£500000,£750000,£1000000,No Limit
F2F DR per transaction,£,0%,0.6%,0.5%,0.35%,0.35%,0.35%,0.35%,0.35%,0.35%,0.3%,0.3%
F2F CR% of transaction value,£,0%,1%,1%,0.65%,0.65%,0.65%,0.65%,0.65%,0.65%,0.6%,0.6%
F2F Premium CR% per transaction,£,0%,2%,2%,1.85%,1.85%,1.85%,1.85%,1.85%,1.85%,1.85%,1.85%
Online DR per transaction,£,0%,0.9%,0.85%,0.75%,0.75%,0.75%,0.65%,0.65%,0.65%,0.65%,0.6%
Online CR% of transaction value,£,0%,1.3%,1.3%,0.95%,0.95%,0.95%,0.95%,0.95%,0.95%,0.9%,0.9%
Online Premium CR% per transaction,£,0%,2.3%,2.3%,2.2%,2.15%,2.15%,2.15%,2.15%,2.15%,2.15%,2.15%
CNP DR per transaction,£,0%,0.9%,0.85%,0.75%,0.75%,0.75%,0.65%,0.65%,0.65%,0.65%,0.6%
CNP CR% of transaction value,£,0%,1.3%,1.3%,0.95%,0.95%,0.95%,0.95%,0.95%,0.95%,0.9%,0.9%
CNP Premium CR% per transaction,£,0%,2.3%,2.3%,2.2%,2.15%,2.15%,2.15%,2.15%,2.15%,2.15%,2.15%
